PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TPSYCH,344,73,0.0547945205479452,0.0136986301369863,0.0821917808219178,0.8493150684931506
TPSYCH,345,168,0.047619047619047616,0.03571428571428571,0.2619047619047619,0.6547619047619048
TPSYCH,346,199,0.04020100502512563,0.01507537688442211,0.10552763819095477,0.8391959798994975
TPSYCH,347,55,0.05454545454545454,0.07272727272727272,0.18181818181818182,0.6909090909090909
TPSYCH,349,325,0.04,0.015384615384615385,0.052307692307692305,0.8923076923076924
TPSYCH,350,107,0.0,0.06542056074766354,0.21495327102803738,0.719626168224299
TPSYCH,352,141,0.0070921985815602835,0.10638297872340426,0.3546099290780142,0.5319148936170213
TPSYCH,360,365,0.0410958904109589,0.07123287671232877,0.22465753424657534,0.663013698630137
TPSYCH,361,212,0.0330188679245283,0.03773584905660377,0.12264150943396226,0.8066037735849056
TPSYCH,362,65,0.03076923076923077,0.07692307692307693,0.24615384615384617,0.6461538461538462
TPSYCH,400,218,0.05045871559633028,0.0779816513761468,0.1834862385321101,0.6880733944954128
TPSYCH,401,415,0.021686746987951807,0.01927710843373494,0.1686746987951807,0.7903614457831325
TPSYCH,402,88,0.011363636363636364,0.045454545454545456,0.17045454545454544,0.7727272727272727
TPSYCH,403,114,0.05263157894736842,0.03508771929824561,0.19298245614035087,0.7192982456140351
TPSYCH,404,244,0.040983606557377046,0.04918032786885246,0.10655737704918032,0.8032786885245902
TPSYCH,405,344,0.0436046511627907,0.01744186046511628,0.06976744186046512,0.8691860465116279
TPSYCH,406,275,0.04363636363636364,0.05090909090909091,0.13454545454545455,0.7709090909090909
TPSYCH,407,223,0.06726457399103139,0.06726457399103139,0.19730941704035873,0.6681614349775785
TPSYCH,409,127,0.031496062992125984,0.08661417322834646,0.1732283464566929,0.7086614173228346
TPSYCH,410,103,0.04854368932038835,0.038834951456310676,0.019417475728155338,0.8932038834951457
TPSYCH,411,213,0.046948356807511735,0.051643192488262914,0.1643192488262911,0.7370892018779343
TPSYCH,418,161,0.037267080745341616,0.012422360248447204,0.14906832298136646,0.8012422360248447
TPSYCH,420,36,0.027777777777777776,0.0,0.0,0.9722222222222222
TPSYCH,421,64,0.046875,0.0,0.109375,0.84375
TPSYCH,422,193,0.010362694300518135,0.046632124352331605,0.27979274611398963,0.6632124352331606
TPSYCH,431,398,0.01507537688442211,0.022613065326633167,0.11306532663316583,0.8492462311557789
TPSYCH,432,414,0.00966183574879227,0.033816425120772944,0.17391304347826086,0.782608695652174
TPSYCH,441,164,0.09146341463414634,0.04878048780487805,0.10975609756097561,0.75
TPSYCH,445,67,0.0,0.029850746268656716,0.07462686567164178,0.8955223880597015
TPSYCH,450,70,0.07142857142857142,0.02857142857142857,0.2,0.7
TPSYCH,455,132,0.06818181818181818,0.030303030303030304,0.045454545454545456,0.8560606060606061
TPSYCH,460,79,0.012658227848101266,0.012658227848101266,0.13924050632911392,0.8354430379746836
TPSYCH,471,26,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.8461538461538461
TPSYCH,498,19,0.0,0.0,0.0,1.0
